model,acc,time,batch_size,max_memory_usage,mean_power_consumption
12,0.7894736842105263,1.0848162174224854,4,2932.89453125,30.89936363636364
12,0.7894736842105263,1.0053935050964355,8,2924.62109375,31.69609090909091
12,0.7894736842105263,0.9918851852416992,16,2946.09765625,34.6164
12,0.7894736842105263,0.9808430671691896,32,2945.57421875,30.3332
0,0.7157894736842105,0.986374855041504,1,2894.7265625,33.15127272727273
0,0.7157894736842105,0.9006297588348389,4,2917.515625,30.948500000000006
0,0.7157894736842105,0.858081579208374,8,2891.69921875,30.9327
0,0.7157894736842105,0.8535020351409912,16,2924.48828125,29.0697
0,0.7157894736842105,0.8345203399658203,32,2929.73828125,31.8636
1,0.7684210526315789,1.1412250995635986,1,2908.18359375,31.45118181818182
1,0.7684210526315789,0.9430127143859864,4,2934.54296875,34.46000000000001
1,0.7684210526315789,0.9106910228729248,8,2933.83984375,33.14081818181818
1,0.7684210526315789,0.8856546878814697,16,2921.375,31.669
1,0.7684210526315789,0.854853630065918,32,2933.20703125,31.57781818181818
2,0.8,1.3184282779693604,1,2944.8125,34.786750000000005
2,0.8,1.0442378520965576,4,2934.48828125,30.74445454545455
2,0.8,1.010390043258667,8,2930.796875,35.24409090909091
2,0.8,0.9690062999725342,16,2915.46875,35.912454545454544
2,0.8,0.9274287223815918,32,2910.12109375,33.80036363636364
3,0.7684210526315789,1.8266057968139648,1,2924.37109375,38.30871428571429
3,0.7684210526315789,1.1872079372406006,4,2959.3203125,32.29291666666666
3,0.7684210526315789,1.1287424564361572,8,2941.32421875,35.3245
3,0.7684210526315789,1.085309982299805,16,2944.41015625,33.780416666666675
3,0.7684210526315789,1.0466938018798828,32,2949.1171875,34.97516666666667
4,0.8105263157894737,2.2847259044647217,1,2979.12109375,39.471066666666665
4,0.8105263157894737,1.31773042678833,4,2959.125,36.232461538461536
4,0.8105263157894737,1.2502481937408447,8,2964.21875,36.30238461538463
4,0.8105263157894737,1.1978631019592283,16,2972.57421875,36.67530769230769
